"x","y","V"
1,1,2.76
1,2,2.43
1,3,2.11
1,4,1.78
1,5,1.47
1,6,1.17
1,7,0.88
1,8,0.61
1,9,0.35
2,1,2.84
2,2,2.5
2,3,2.18
2,4,1.85
2,5,1.52
2,6,1.2
2,7,0.88
2,8,0.59
2,9,0.35
3,1,2.86
3,2,2.52
3,3,2.19
3,4,1.85
3,5,1.51
3,6,1.23
3,7,0.91
3,8,0.58
3,9,0.38
4,1,2.89
4,2,2.56
4,3,2.19
4,4,1.85
4,5,1.52
4,6,1.2
4,7,0.91
4,8,0.6
4,9,0.33
5,1,2.91
5,2,2.55
5,3,2.2
5,4,1.86
5,5,1.53
5,6,1.2
5,7,0.9
5,8,0.6
5,9,0.34
6,1,2.95
6,2,2.59
6,3,2.24
6,4,1.89
6,5,1.55
6,6,1.19
6,7,0.89
6,8,0.6
6,9,0.34
7,1,2.94
7,2,2.58
7,3,2.23
7,4,1.89
7,5,1.53
7,6,1.22
7,7,0.91
7,8,0.61
7,9,0.34
8,1,2.94
8,2,2.57
8,3,2.22
8,4,1.86
8,5,1.52
8,6,1.23
8,7,0.9
8,8,0.59
8,9,0.36
9,1,2.91
9,2,2.54
9,3,2.2
9,4,1.86
9,5,1.53
9,6,1.19
9,7,0.88
9,8,0.62
9,9,0.34
